"uid_01","hmdb_id","biochemical","uid_01_final","hmdb_id_final","biochemical_final","biochemical_final_final","biochemical_final_final_final","uid_01_final_1","uid_01_final_2"
"C36_2_PS_plasmalogen","","C36:2 PS plasmalogen","C36_2_PS_plasmalogen","","C36:2 PS plasmalogen","C36:2 PS plasmalogen","c36_2 ps plasmalogen","C36_2_PS_plasmalogen","C36_2_PS_plasmalogen"
"HMDB07219","HMDB0007219","DG(18:1(9Z)/18:2(9Z,12Z)/0:0)","HMDB07219","HMDB0007219","DG(18:1(9Z)/18:2(9Z,12Z)/0:0)","DG(18:1(9Z)/18:2(9Z,12Z)/0:0)","dg_18_1_9z_18_2_9z_12z_0_0","HMDB07219","HMDB0007219"
"C36_3_DAG_+NH4","","C36:3 DAG +NH4","C36_3_DAG_+NH4","","C36:3 DAG +NH4","C36:3 DAG +NH4","c36_3 dag +nh4","C36_3_DAG_+NH4","C36_3_DAG_+NH4"
"HMDB08105","HMDB0008105","PC(18:1(9Z)/18:2(9Z,12Z))","HMDB08105","HMDB0008105","PC(18:1(9Z)/18:2(9Z,12Z))","PC(18:1(9Z)/18:2(9Z,12Z))","pc_18_1_9z_18_2_9z_12z","HMDB08105","HMDB0008105"
"HMDB11244","HMDB0011244","PC(P-18:0/18:2(9Z,12Z))","HMDB11244","HMDB0011244","PC(P-18:0/18:2(9Z,12Z))","PC(P-18:0/18:2(9Z,12Z))","pc_p_18_0_18_2_9z_12z","HMDB11244","HMDB0011244"
"HMDB09060","HMDB0009060","PE(18:1(9Z)/18:2(9Z,12Z))","HMDB09060","HMDB0009060","PE(18:1(9Z)/18:2(9Z,12Z))","PE(18:1(9Z)/18:2(9Z,12Z))","pe_18_1_9z_18_2_9z_12z","HMDB09060","HMDB0009060"
"HMDB11441","HMDB0011441","PE(P-18:1(9Z)/18:1(9Z))","HMDB11441","HMDB0011441","PE(P-18:1(9Z)/18:1(9Z))","PE(P-18:1(9Z)/18:1(9Z))","pe_p_18_1_9z_18_1_9z","HMDB11441","HMDB0011441"
"C36_3_PS_plasmalogen","","C36:3 PS plasmalogen","C36_3_PS_plasmalogen","","C36:3 PS plasmalogen","C36:3 PS plasmalogen","c36_3 ps plasmalogen","C36_3_PS_plasmalogen","C36_3_PS_plasmalogen"
"HMDB07248","HMDB0007248","DG(18:2(9Z,12Z)/18:2(9Z,12Z)/0:0)","HMDB07248","HMDB0007248","DG(18:2(9Z,12Z)/18:2(9Z,12Z)/0:0)","DG(18:2(9Z,12Z)/18:2(9Z,12Z)/0:0)","dg_18_2_9z_12z_18_2_9z_12z_0_0","HMDB07248","HMDB0007248"
"C36_4_DAG_+NH4","","C36:4 DAG +NH4","C36_4_DAG_+NH4","","C36:4 DAG +NH4","C36:4 DAG +NH4","c36_4 dag +nh4","C36_4_DAG_+NH4","C36_4_DAG_+NH4"
"HMDB07983","HMDB0007983","PC(16:0/20:4(8Z,11Z,14Z,17Z))","HMDB07983","HMDB0007983","PC(16:0/20:4(8Z,11Z,14Z,17Z))","PC(16:0/20:4(8Z,11Z,14Z,17Z))","pc_16_0_20_4_8z_11z_14z_17z","HMDB07983","HMDB0007983"
"HMDB11310","HMDB0011310","PC(P-18:1(9Z)/18:2(9Z,12Z))","HMDB11310","HMDB0011310","PC(P-18:1(9Z)/18:2(9Z,12Z))","PC(P-18:1(9Z)/18:2(9Z,12Z))","pc_p_18_1_9z_18_2_9z_12z","HMDB11310","HMDB0011310"
"HMDB08937","HMDB0008937","PE(16:0/20:4(5Z,8Z,11Z,14Z))","HMDB08937","HMDB0008937","PE(16:0/20:4(5Z,8Z,11Z,14Z))","PE(16:0/20:4(5Z,8Z,11Z,14Z))","pe_16_0_20_4_5z_8z_11z_14z","HMDB08937","HMDB0008937"
"HMDB11442","HMDB0011442","PE(P-18:1(9Z)/18:2(9Z,12Z))","HMDB11442","HMDB0011442","PE(P-18:1(9Z)/18:2(9Z,12Z))","PE(P-18:1(9Z)/18:2(9Z,12Z))","pe_p_18_1_9z_18_2_9z_12z","HMDB11442","HMDB0011442"
"HMDB11221","HMDB0011221","PC(P-16:0/20:4(8Z,11Z,14Z,17Z))","HMDB11221","HMDB0011221","PC(P-16:0/20:4(8Z,11Z,14Z,17Z))","PC(P-16:0/20:4(8Z,11Z,14Z,17Z))","pc_p_16_0_20_4_8z_11z_14z_17z","HMDB11221","HMDB0011221"
"HMDB11410","HMDB0011410","PE(P-18:1(11Z)/18:3(6Z,9Z,12Z))","HMDB11410","HMDB0011410","PE(P-18:1(11Z)/18:3(6Z,9Z,12Z))","PE(P-18:1(11Z)/18:3(6Z,9Z,12Z))","pe_p_18_1_11z_18_3_6z_9z_12z","HMDB11410","HMDB0011410"
"HMDB08270","HMDB0008270","PC(20:0/18:2(9Z,12Z))","HMDB08270","HMDB0008270","PC(20:0/18:2(9Z,12Z))","PC(20:0/18:2(9Z,12Z))","pc_20_0_18_2_9z_12z","HMDB08270","HMDB0008270"
"HMDB08942","HMDB0008942","PE(16:0/22:2(13Z,16Z))","HMDB08942","HMDB0008942","PE(16:0/22:2(13Z,16Z))","PE(16:0/22:2(13Z,16Z))","pe_16_0_22_2_13z_16z","HMDB08942","HMDB0008942"
"HMDB08047","HMDB0008047","PC(18:0/20:3(8Z,11Z,14Z))","HMDB08047","HMDB0008047","PC(18:0/20:3(8Z,11Z,14Z))","PC(18:0/20:3(8Z,11Z,14Z))","pc_18_0_20_3_8z_11z_14z","HMDB08047","HMDB0008047"
"HMDB11384","HMDB0011384","PE(P-18:0/20:3(8Z,11Z,14Z))","HMDB11384","HMDB0011384","PE(P-18:0/20:3(8Z,11Z,14Z))","PE(P-18:0/20:3(8Z,11Z,14Z))","pe_p_18_0_20_3_8z_11z_14z","HMDB11384","HMDB0011384"
"HMDB07170","HMDB0007170","DG(18:0/20:4(5Z,8Z,11Z,14Z)/0:0)","HMDB07170","HMDB0007170","DG(18:0/20:4(5Z,8Z,11Z,14Z)/0:0)","DG(18:0/20:4(5Z,8Z,11Z,14Z)/0:0)","dg_18_0_20_4_5z_8z_11z_14z_0_0","HMDB07170","HMDB0007170"
"HMDB07170_RT9_290","HMDB0007170","DG(18:0/20:4(5Z,8Z,11Z,14Z)/0:0)","HMDB07170_RT9_290","HMDB0007170","DG(18:0/20:4(5Z,8Z,11Z,14Z)/0:0)","DG(18:0/20:4(5Z,8Z,11Z,14Z)/0:0)","dg_18_0_20_4_5z_8z_11z_14z_0_0","HMDB07170_RT9_290","HMDB0007170_RT9_290"
"HMDB07170_RT9_160","HMDB0007170","DG(18:0/20:4(5Z,8Z,11Z,14Z)/0:0)","HMDB07170_RT9_160","HMDB0007170","DG(18:0/20:4(5Z,8Z,11Z,14Z)/0:0)","DG(18:0/20:4(5Z,8Z,11Z,14Z)/0:0)","dg_18_0_20_4_5z_8z_11z_14z_0_0","HMDB07170_RT9_160","HMDB0007170_RT9_160"
"HMDB11252","HMDB0011252","PC(P-18:0/20:3(8Z,11Z,14Z))","HMDB11252","HMDB0011252","PC(P-18:0/20:3(8Z,11Z,14Z))","PC(P-18:0/20:3(8Z,11Z,14Z))","pc_p_18_0_20_3_8z_11z_14z","HMDB11252","HMDB0011252"
"HMDB07199","HMDB0007199","DG(18:1(11Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","HMDB07199","HMDB0007199","DG(18:1(11Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","DG(18:1(11Z)/20:4(5Z,8Z,11Z,14Z)/0:0)","dg_18_1_11z_20_4_5z_8z_11z_14z_0_0","HMDB07199","HMDB0007199"
"C38_5_DAG_+NH4","","C38:5 DAG +NH4","C38_5_DAG_+NH4","","C38:5 DAG +NH4","C38:5 DAG +NH4","c38_5 dag +nh4","C38_5_DAG_+NH4","C38_5_DAG_+NH4"
"HMDB09069","HMDB0009069","PE(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","HMDB09069","HMDB0009069","PE(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","PE(18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","pe_18_1_9z_20_4_5z_8z_11z_14z","HMDB09069","HMDB0009069"
"HMDB11386","HMDB0011386","PE(P-18:0/20:4(8Z,11Z,14Z,17Z))","HMDB11386","HMDB0011386","PE(P-18:0/20:4(8Z,11Z,14Z,17Z))","PE(P-18:0/20:4(8Z,11Z,14Z,17Z))","pe_p_18_0_20_4_8z_11z_14z_17z","HMDB11386","HMDB0011386"
"HMDB07991","HMDB0007991","PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB07991","HMDB0007991","PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","pc_16_0_22_6_4z_7z_10z_13z_16z_19z","HMDB07991","HMDB0007991"
"HMDB11319","HMDB0011319","PC(P-18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","HMDB11319","HMDB0011319","PC(P-18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","PC(P-18:1(9Z)/20:4(5Z,8Z,11Z,14Z))","pc_p_18_1_9z_20_4_5z_8z_11z_14z","HMDB11319","HMDB0011319"
"HMDB09102","HMDB0009102","PE(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))","HMDB09102","HMDB0009102","PE(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))","PE(18:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z))","pe_18_2_9z_12z_20_4_5z_8z_11z_14z","HMDB09102","HMDB0009102"
"HMDB11387","HMDB0011387","PE(P-18:0/20:5(5Z,8Z,11Z,14Z,17Z))","HMDB11387","HMDB0011387","PE(P-18:0/20:5(5Z,8Z,11Z,14Z,17Z))","PE(P-18:0/20:5(5Z,8Z,11Z,14Z,17Z))","pe_p_18_0_20_5_5z_8z_11z_14z_17z","HMDB11387","HMDB0011387"
"HMDB12362","HMDB0012362","PS(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB12362","HMDB0012362","PS(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PS(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","ps_16_0_22_6_4z_7z_10z_13z_16z_19z","HMDB12362","HMDB0012362"
"HMDB11229","HMDB0011229","PC(P-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB11229","HMDB0011229","PC(P-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PC(P-16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","pc_p_16_0_22_6_4z_7z_10z_13z_16z_19z","HMDB11229","HMDB0011229"
"HMDB11420","HMDB0011420","PE(P-18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))","HMDB11420","HMDB0011420","PE(P-18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))","PE(P-18:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))","pe_p_18_1_11z_20_5_5z_8z_11z_14z_17z","HMDB11420","HMDB0011420"
"HMDB13127","HMDB0013127","Hydroxybutyrylcarnitine","HMDB13127","HMDB0013127","Hydroxybutyrylcarnitine","Hydroxybutyrylcarnitine","hydroxybutyrylcarnitine","HMDB13127","HMDB0013127"
"HMDB08511","HMDB0008511","PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))","HMDB08511","HMDB0008511","PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))","PC(20:5(5Z,8Z,11Z,14Z,17Z)/20:5(5Z,8Z,11Z,14Z,17Z))","pc_20_5_5z_8z_11z_14z_17z_20_5_5z_8z_11z_14z_17z","HMDB08511","HMDB0008511"
"HMDB08057","HMDB0008057","PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB08057","HMDB0008057","PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","pc_18_0_22_6_4z_7z_10z_13z_16z_19z","HMDB08057","HMDB0008057"
"HMDB09012","HMDB0009012","PE(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB09012","HMDB0009012","PE(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PE(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","pe_18_0_22_6_4z_7z_10z_13z_16z_19z","HMDB09012","HMDB0009012"
"HMDB10167","HMDB0010167","PS(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB10167","HMDB0010167","PS(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PS(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","ps_18_0_22_6_4z_7z_10z_13z_16z_19z","HMDB10167","HMDB0010167"
"HMDB11294","HMDB0011294","PC(P-18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))","HMDB11294","HMDB0011294","PC(P-18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))","PC(P-18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))","pc_p_18_1_11z_22_5_7z_10z_13z_16z_19z","HMDB11294","HMDB0011294"
"HMDB11394","HMDB0011394","PE(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB11394","HMDB0011394","PE(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PE(P-18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","pe_p_18_0_22_6_4z_7z_10z_13z_16z_19z","HMDB11394","HMDB0011394"
"HMDB08731","HMDB0008731","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(6Z,9Z,12Z))","HMDB08731","HMDB0008731","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(6Z,9Z,12Z))","PC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/18:3(6Z,9Z,12Z))","pc_22_6_4z_7z_10z_13z_16z_19z_18_3_6z_9z_12z","HMDB08731","HMDB0008731"
"C41_0_TAG","","C41:0 TAG","C41_0_TAG","","C41:0 TAG","C41:0 TAG","c41_0 tag","C41_0_TAG","C41_0_TAG"
"C41_0_TAG_+NH4","","C41:0 TAG +NH4","C41_0_TAG_+NH4","","C41:0 TAG +NH4","C41:0 TAG +NH4","c41_0 tag +nh4","C41_0_TAG_+NH4","C41_0_TAG_+NH4"
"C42_0_TAG#HMDB42061","#HMDB0042061","C42:0 TAG#TG(14:0/14:0/14:0)","C42_0_TAG","","C42:0 TAG","C42:0 TAG","c42_0 tag","C42_0_TAG","C42_0_TAG"
"C42_0_TAG#HMDB42061","#HMDB0042061","C42:0 TAG#TG(14:0/14:0/14:0)","C42_0_TAG","","TG(14:0/14:0/14:0)","TG(14:0/14:0/14:0)","tg_14_0_14_0_14_0","C42_0_TAG","C42_0_TAG"
"C42_0_TAG#HMDB42061","#HMDB0042061","C42:0 TAG#TG(14:0/14:0/14:0)","C42_0_TAG","HMDB0042061","C42:0 TAG","C42:0 TAG","c42_0 tag","C42_0_TAG","C42_0_TAG"
"C42_0_TAG#HMDB42061","#HMDB0042061","C42:0 TAG#TG(14:0/14:0/14:0)","C42_0_TAG","HMDB0042061","TG(14:0/14:0/14:0)","TG(14:0/14:0/14:0)","tg_14_0_14_0_14_0","C42_0_TAG","C42_0_TAG"
"C42_0_TAG#HMDB42061","#HMDB0042061","C42:0 TAG#TG(14:0/14:0/14:0)","HMDB42061","","C42:0 TAG","C42:0 TAG","c42_0 tag","HMDB42061","HMDB0042061"
"C42_0_TAG#HMDB42061","#HMDB0042061","C42:0 TAG#TG(14:0/14:0/14:0)","HMDB42061","","TG(14:0/14:0/14:0)","TG(14:0/14:0/14:0)","tg_14_0_14_0_14_0","HMDB42061","HMDB0042061"
"C42_0_TAG#HMDB42061","#HMDB0042061","C42:0 TAG#TG(14:0/14:0/14:0)","HMDB42061","HMDB0042061","C42:0 TAG","C42:0 TAG","c42_0 tag","HMDB42061","HMDB0042061"
"C42_0_TAG#HMDB42061","#HMDB0042061","C42:0 TAG#TG(14:0/14:0/14:0)","HMDB42061","HMDB0042061","TG(14:0/14:0/14:0)","TG(14:0/14:0/14:0)","tg_14_0_14_0_14_0","HMDB42061","HMDB0042061"
"C42_0_TAG_+NH4","","C42:0 TAG +NH4","C42_0_TAG_+NH4","","C42:0 TAG +NH4","C42:0 TAG +NH4","c42_0 tag +nh4","C42_0_TAG_+NH4","C42_0_TAG_+NH4"
"C42_11_PE_plasmalogen","","C42:11 PE plasmalogen","C42_11_PE_plasmalogen","","C42:11 PE plasmalogen","C42:11 PE plasmalogen","c42_11 pe plasmalogen","C42_11_PE_plasmalogen","C42_11_PE_plasmalogen"
"C42_0_TAG","","C42:0 TAG","C42_0_TAG","","C42:0 TAG","C42:0 TAG","c42_0 tag","C42_0_TAG","C42_0_TAG"
"HMDB42062","HMDB0042062","TG(14:0/14:0/15:0)","HMDB42062","HMDB0042062","TG(14:0/14:0/15:0)","TG(14:0/14:0/15:0)","tg_14_0_14_0_15_0","HMDB42062","HMDB0042062"
"C43_0_TAG_+NH4","","C43:0 TAG +NH4","C43_0_TAG_+NH4","","C43:0 TAG +NH4","C43:0 TAG +NH4","c43_0 tag +nh4","C43_0_TAG_+NH4","C43_0_TAG_+NH4"
"HMDB42098","HMDB0042098","TG(14:0/15:0/14:1(9Z))","HMDB42098","HMDB0042098","TG(14:0/15:0/14:1(9Z))","TG(14:0/15:0/14:1(9Z))","tg_14_0_15_0_14_1_9z","HMDB42098","HMDB0042098"
"C43_1_TAG_+NH4","","C43:1 TAG +NH4","C43_1_TAG_+NH4","","C43:1 TAG +NH4","C43:1 TAG +NH4","c43_1 tag +nh4","C43_1_TAG_+NH4","C43_1_TAG_+NH4"
"HMDB43169","HMDB0043169","TG(15:0/14:1(9Z)/14:1(9Z))","HMDB43169","HMDB0043169","TG(15:0/14:1(9Z)/14:1(9Z))","TG(15:0/14:1(9Z)/14:1(9Z))","tg_15_0_14_1_9z_14_1_9z","HMDB43169","HMDB0043169"
"HMDB42063","HMDB0042063","TG(14:0/14:0/16:0)","HMDB42063","HMDB0042063","TG(14:0/14:0/16:0)","TG(14:0/14:0/16:0)","tg_14_0_14_0_16_0","HMDB42063","HMDB0042063"
"C44_0_TAG_+NH4","","C44:0 TAG +NH4","C44_0_TAG_+NH4","","C44:0 TAG +NH4","C44:0 TAG +NH4","c44_0 tag +nh4","C44_0_TAG_+NH4","C44_0_TAG_+NH4"
"C44_1_TAG","","C44:1 TAG","C44_1_TAG","","C44:1 TAG","C44:1 TAG","c44_1 tag","C44_1_TAG","C44_1_TAG"
"C44_1_TAG_+NH4","","C44:1 TAG +NH4","C44_1_TAG_+NH4","","C44:1 TAG +NH4","C44:1 TAG +NH4","c44_1 tag +nh4","C44_1_TAG_+NH4","C44_1_TAG_+NH4"
"C44_13_PE_plasmalogen","","C44:13 PE plasmalogen","C44_13_PE_plasmalogen","","C44:13 PE plasmalogen","C44:13 PE plasmalogen","c44_13 pe plasmalogen","C44_13_PE_plasmalogen","C44_13_PE_plasmalogen"
"C44_2_TAG","","C44:2 TAG","C44_2_TAG","","C44:2 TAG","C44:2 TAG","c44_2 tag","C44_2_TAG","C44_2_TAG"
"C44_2_TAG_+NH4","","C44:2 TAG +NH4","C44_2_TAG_+NH4","","C44:2 TAG +NH4","C44:2 TAG +NH4","c44_2 tag +nh4","C44_2_TAG_+NH4","C44_2_TAG_+NH4"
"HMDB42093","HMDB0042093","TG(14:0/15:0/16:0)","HMDB42093","HMDB0042093","TG(14:0/15:0/16:0)","TG(14:0/15:0/16:0)","tg_14_0_15_0_16_0","HMDB42093","HMDB0042093"
"C45_0_TAG_+NH4","","C45:0 TAG +NH4","C45_0_TAG_+NH4","","C45:0 TAG +NH4","C45:0 TAG +NH4","c45_0 tag +nh4","C45_0_TAG_+NH4","C45_0_TAG_+NH4"
"HMDB42099","HMDB0042099","TG(14:0/15:0/16:1(9Z))","HMDB42099","HMDB0042099","TG(14:0/15:0/16:1(9Z))","TG(14:0/15:0/16:1(9Z))","tg_14_0_15_0_16_1_9z","HMDB42099","HMDB0042099"
"C45_1_TAG_+NH4","","C45:1 TAG +NH4","C45_1_TAG_+NH4","","C45:1 TAG +NH4","C45:1 TAG +NH4","c45_1 tag +nh4","C45_1_TAG_+NH4","C45_1_TAG_+NH4"
"HMDB43170","HMDB0043170","TG(15:0/14:1(9Z)/16:1(9Z))","HMDB43170","HMDB0043170","TG(15:0/14:1(9Z)/16:1(9Z))","TG(15:0/14:1(9Z)/16:1(9Z))","tg_15_0_14_1_9z_16_1_9z","HMDB43170","HMDB0043170"
"C45_2_TAG_+NH4","","C45:2 TAG +NH4","C45_2_TAG_+NH4","","C45:2 TAG +NH4","C45:2 TAG +NH4","c45_2 tag +nh4","C45_2_TAG_+NH4","C45_2_TAG_+NH4"
"C45_3_TAG","","C45:3 TAG","C45_3_TAG","","C45:3 TAG","C45:3 TAG","c45_3 tag","C45_3_TAG","C45_3_TAG"
"HMDB10411","HMDB0010411","TG(16:0/14:0/16:0)","HMDB10411","HMDB0010411","TG(16:0/14:0/16:0)","TG(16:0/14:0/16:0)","tg_16_0_14_0_16_0","HMDB10411","HMDB0010411"
"C46_0_TAG_+NH4","","C46:0 TAG +NH4","C46_0_TAG_+NH4","","C46:0 TAG +NH4","C46:0 TAG +NH4","c46_0 tag +nh4","C46_0_TAG_+NH4","C46_0_TAG_+NH4"
"HMDB10412","HMDB0010412","TG(16:0/14:0/16:1(9Z))","HMDB10412","HMDB0010412","TG(16:0/14:0/16:1(9Z))","TG(16:0/14:0/16:1(9Z))","tg_16_0_14_0_16_1_9z","HMDB10412","HMDB0010412"
"C46_1_TAG_+NH4","","C46:1 TAG +NH4","C46_1_TAG_+NH4","","C46:1 TAG +NH4","C46:1 TAG +NH4","c46_1 tag +nh4","C46_1_TAG_+NH4","C46_1_TAG_+NH4"
"HMDB10419","HMDB0010419","TG(16:1(9Z)/14:0/16:1(9Z))","HMDB10419","HMDB0010419","TG(16:1(9Z)/14:0/16:1(9Z))","TG(16:1(9Z)/14:0/16:1(9Z))","tg_16_1_9z_14_0_16_1_9z","HMDB10419","HMDB0010419"
"C46_2_TAG_+NH4","","C46:2 TAG +NH4","C46_2_TAG_+NH4","","C46:2 TAG +NH4","C46:2 TAG +NH4","c46_2 tag +nh4","C46_2_TAG_+NH4","C46_2_TAG_+NH4"
"C46_3_TAG","","C46:3 TAG","C46_3_TAG","","C46:3 TAG","C46:3 TAG","c46_3 tag","C46_3_TAG","C46_3_TAG"
"C46_3_TAG_+NH4","","C46:3 TAG +NH4","C46_3_TAG_+NH4","","C46:3 TAG +NH4","C46:3 TAG +NH4","c46_3 tag +nh4","C46_3_TAG_+NH4","C46_3_TAG_+NH4"
"C46_4_TAG","","C46:4 TAG","C46_4_TAG","","C46:4 TAG","C46:4 TAG","c46_4 tag","C46_4_TAG","C46_4_TAG"
"C46_4_TAG_+NH4","","C46:4 TAG +NH4","C46_4_TAG_+NH4","","C46:4 TAG +NH4","C46:4 TAG +NH4","c46_4 tag +nh4","C46_4_TAG_+NH4","C46_4_TAG_+NH4"
"HMDB42094","HMDB0042094","TG(14:0/15:0/18:0)","HMDB42094","HMDB0042094","TG(14:0/15:0/18:0)","TG(14:0/15:0/18:0)","tg_14_0_15_0_18_0","HMDB42094","HMDB0042094"
"C47_0_TAG_+NH4","","C47:0 TAG +NH4","C47_0_TAG_+NH4","","C47:0 TAG +NH4","C47:0 TAG +NH4","c47_0 tag +nh4","C47_0_TAG_+NH4","C47_0_TAG_+NH4"
"HMDB42100","HMDB0042100","TG(14:0/15:0/18:1(11Z))","HMDB42100","HMDB0042100","TG(14:0/15:0/18:1(11Z))","TG(14:0/15:0/18:1(11Z))","tg_14_0_15_0_18_1_11z","HMDB42100","HMDB0042100"
"C47_1_TAG_+NH4","","C47:1 TAG +NH4","C47_1_TAG_+NH4","","C47:1 TAG +NH4","C47:1 TAG +NH4","c47_1 tag +nh4","C47_1_TAG_+NH4","C47_1_TAG_+NH4"
"HMDB42076","HMDB0042076","TG(14:0/14:0/18:2(9Z,12Z))","HMDB42076","HMDB0042076","TG(14:0/14:0/18:2(9Z,12Z))","TG(14:0/14:0/18:2(9Z,12Z))","tg_14_0_14_0_18_2_9z_12z","HMDB42076","HMDB0042076"
"C47_2_TAG_+NH4","","C47:2 TAG +NH4","C47_2_TAG_+NH4","","C47:2 TAG +NH4","C47:2 TAG +NH4","c47_2 tag +nh4","C47_2_TAG_+NH4","C47_2_TAG_+NH4"
"HMDB05356","HMDB0005356","TG(16:0/16:0/16:0)","HMDB05356","HMDB0005356","TG(16:0/16:0/16:0)","TG(16:0/16:0/16:0)","tg_16_0_16_0_16_0","HMDB05356","HMDB0005356"
"C48_0_TAG_+NH4","","C48:0 TAG +NH4","C48_0_TAG_+NH4","","C48:0 TAG +NH4","C48:0 TAG +NH4","c48_0 tag +nh4","C48_0_TAG_+NH4","C48_0_TAG_+NH4"
"HMDB05359","HMDB0005359","TG(16:0/16:0/16:1(9Z))","HMDB05359","HMDB0005359","TG(16:0/16:0/16:1(9Z))","TG(16:0/16:0/16:1(9Z))","tg_16_0_16_0_16_1_9z","HMDB05359","HMDB0005359"
"C48_1_TAG_+NH4","","C48:1 TAG +NH4","C48_1_TAG_+NH4","","C48:1 TAG +NH4","C48:1 TAG +NH4","c48_1 tag +nh4","C48_1_TAG_+NH4","C48_1_TAG_+NH4"
"HMDB05376","HMDB0005376","TG(16:0/16:1(9Z)/16:1(9Z))","HMDB05376","HMDB0005376","TG(16:0/16:1(9Z)/16:1(9Z))","TG(16:0/16:1(9Z)/16:1(9Z))","tg_16_0_16_1_9z_16_1_9z","HMDB05376","HMDB0005376"
"C48_2_TAG_+NH4","","C48:2 TAG +NH4","C48_2_TAG_+NH4","","C48:2 TAG +NH4","C48:2 TAG +NH4","c48_2 tag +nh4","C48_2_TAG_+NH4","C48_2_TAG_+NH4"
"HMDB05432","HMDB0005432","TG(16:1(9Z)/16:1(9Z)/16:1(9Z))","HMDB05432","HMDB0005432","TG(16:1(9Z)/16:1(9Z)/16:1(9Z))","TG(16:1(9Z)/16:1(9Z)/16:1(9Z))","tg_16_1_9z_16_1_9z_16_1_9z","HMDB05432","HMDB0005432"
"C48_3_TAG_+NH4","","C48:3 TAG +NH4","C48_3_TAG_+NH4","","C48:3 TAG +NH4","C48:3 TAG +NH4","c48_3 tag +nh4","C48_3_TAG_+NH4","C48_3_TAG_+NH4"
"C48_4_TAG","","C48:4 TAG","C48_4_TAG","","C48:4 TAG","C48:4 TAG","c48_4 tag","C48_4_TAG","C48_4_TAG"
"C48_4_TAG_+NH4","","C48:4 TAG +NH4","C48_4_TAG_+NH4","","C48:4 TAG +NH4","C48:4 TAG +NH4","c48_4 tag +nh4","C48_4_TAG_+NH4","C48_4_TAG_+NH4"
"C48_5_TAG","","C48:5 TAG","C48_5_TAG","","C48:5 TAG","C48:5 TAG","c48_5 tag","C48_5_TAG","C48_5_TAG"
"C48_5_TAG_+NH4","","C48:5 TAG +NH4","C48_5_TAG_+NH4","","C48:5 TAG +NH4","C48:5 TAG +NH4","c48_5 tag +nh4","C48_5_TAG_+NH4","C48_5_TAG_+NH4"
"HMDB42095","HMDB0042095","TG(14:0/15:0/20:0)","HMDB42095","HMDB0042095","TG(14:0/15:0/20:0)","TG(14:0/15:0/20:0)","tg_14_0_15_0_20_0","HMDB42095","HMDB0042095"
"C49_0_TAG_+NH4","","C49:0 TAG +NH4","C49_0_TAG_+NH4","","C49:0 TAG +NH4","C49:0 TAG +NH4","c49_0 tag +nh4","C49_0_TAG_+NH4","C49_0_TAG_+NH4"
